DATE,THREEFY10
2014-05-06,2.8327
2014-05-07,2.8171
2014-05-08,2.8016
2014-05-09,2.8044
2014-05-12,2.8313
2014-05-13,2.8069
2014-05-14,2.7518
2014-05-15,2.7085
2014-05-16,2.7087
2014-05-19,2.7157
2014-05-20,2.6994
2014-05-21,2.7149
2014-05-22,2.7346
2014-05-23,2.7268
2014-05-26,.
2014-05-27,2.7178
2014-05-28,2.6615
2014-05-29,2.6539
2014-05-30,2.6698
2014-06-02,2.7161
2014-06-03,2.7711
2014-06-04,2.7976
2014-06-05,2.7923
2014-06-06,2.8056
2014-06-09,2.8255
2014-06-10,2.8478
2014-06-11,2.8501
2014-06-12,2.8102
2014-06-13,2.8189
2014-06-16,2.8225
2014-06-17,2.8613
2014-06-18,2.8341
2014-06-19,2.8340
2014-06-20,2.8327
2014-06-23,2.8326
2014-06-24,2.8091
2014-06-25,2.7827
2014-06-26,2.7496
2014-06-27,2.7421
2014-06-30,2.7324
2014-07-01,2.7596
2014-07-02,2.8083
2014-07-03,2.8415
2014-07-04,.
2014-07-07,2.8370
2014-07-08,2.7990
2014-07-09,2.7775
2014-07-10,2.7538
2014-07-11,2.7339
2014-07-14,2.7496
2014-07-15,2.7622
2014-07-16,2.7636
2014-07-17,2.7061
2014-07-18,2.7149
2014-07-21,2.7113
2014-07-22,2.6975
2014-07-23,2.6877
2014-07-24,2.7242
2014-07-25,2.7036
2014-07-28,2.7185
2014-07-29,2.6979
2014-07-30,2.7578
2014-07-31,2.7762
2014-08-01,2.7301
2014-08-04,2.7118
2014-08-05,2.7050
2014-08-06,2.6981
2014-08-07,2.6572
2014-08-08,2.6572
2014-08-11,2.6560
2014-08-12,2.6648
2014-08-13,2.6393
2014-08-14,2.6169
2014-08-15,2.5766
2014-08-18,2.5932
2014-08-19,2.6063
2014-08-20,2.6371
2014-08-21,2.6318
2014-08-22,2.6366
2014-08-25,2.6287
2014-08-26,2.6220
2014-08-27,2.5986
2014-08-28,2.5709
2014-08-29,2.5687
2014-09-01,.
2014-09-02,2.6185
2014-09-03,2.6276
2014-09-04,2.6560
2014-09-05,2.6645
2014-09-08,2.6851
2014-09-09,2.7114
2014-09-10,2.7418
2014-09-11,2.7555
2014-09-12,2.8064
2014-09-15,2.8063
2014-09-16,2.8053
2014-09-17,2.8308
2014-09-18,2.8563
2014-09-19,2.8375
2014-09-22,2.8100
2014-09-23,2.7841
2014-09-24,2.8005
2014-09-25,2.7610
2014-09-26,2.7781
2014-09-29,2.7514
2014-09-30,2.7516
2014-10-01,2.6751
2014-10-02,2.6715
2014-10-03,2.6821
2014-10-06,2.6611
2014-10-07,2.6054
2014-10-08,2.5615
2014-10-09,2.5499
2014-10-10,2.5281
2014-10-13,.
2014-10-14,2.4447
2014-10-15,2.3732
2014-10-16,2.3691
2014-10-17,2.4048
2014-10-20,2.3927
2014-10-21,2.4140
2014-10-22,2.4356
2014-10-23,2.4784
2014-10-24,2.4887
2014-10-27,2.4832
2014-10-28,2.5044
2014-10-29,2.5545
2014-10-30,2.5491
2014-10-31,2.5728
2014-11-03,2.5850
2014-11-04,2.5776
2014-11-05,2.5802
2014-11-06,2.6058
2014-11-07,2.5531
2014-11-10,2.5818
2014-11-11,.
2014-11-12,2.5842
2014-11-13,2.5741
2014-11-14,2.5524
2014-11-17,2.5608
2014-11-18,2.5515
2014-11-19,2.5766
2014-11-20,2.5647
2014-11-21,2.5484
2014-11-24,2.5346
2014-11-25,2.5007
2014-11-26,2.4738
2014-11-27,.
2014-11-28,2.4164
2014-12-01,2.4290
2014-12-02,2.4799
2014-12-03,2.4983
2014-12-04,2.4756
2014-12-05,2.5263
2014-12-08,2.5040
2014-12-09,2.4582
2014-12-10,2.4019
2014-12-11,2.4075
2014-12-12,2.3331
2014-12-15,2.3390
2014-12-16,2.2957
2014-12-17,2.3406
2014-12-18,2.4017
2014-12-19,2.3941
2014-12-22,2.3912
2014-12-23,2.4493
2014-12-24,2.4685
2014-12-25,.
2014-12-26,2.4644
2014-12-29,2.4324
2014-12-30,2.4049
2014-12-31,2.3797
2015-01-01,.
2015-01-02,2.3364
2015-01-05,2.2721
2015-01-06,2.1988
2015-01-07,2.1651
2015-01-08,2.1873
2015-01-09,2.1583
2015-01-12,2.1064
2015-01-13,2.0839
2015-01-14,2.0424
2015-01-15,1.9613
2015-01-16,1.9958
2015-01-19,.
2015-01-20,2.0084
2015-01-21,2.0439
2015-01-22,2.0727
2015-01-23,2.0264
2015-01-26,2.0308
2015-01-27,2.0234
2015-01-28,1.9490
2015-01-29,1.9639
2015-01-30,1.8993
2015-02-02,1.8875
2015-02-03,1.9546
2015-02-04,1.9770
2015-02-05,1.9981
2015-02-06,2.1133
2015-02-09,2.1424
2015-02-10,2.1783
2015-02-11,2.1924
2015-02-12,2.1838
2015-02-13,2.2106
2015-02-16,.
2015-02-17,2.3034
2015-02-18,2.2683
2015-02-19,2.3038
2015-02-20,2.3305
2015-02-23,2.2925
2015-02-24,2.2261
2015-02-25,2.1947
2015-02-26,2.2335
2015-02-27,2.2179
2015-03-02,2.2676
2015-03-03,2.3110
2015-03-04,2.3168
2015-03-05,2.3038
2015-03-06,2.4034
2015-03-09,2.3944
2015-03-10,2.3534
2015-03-11,2.3271
2015-03-12,2.3073
2015-03-13,2.3159
2015-03-16,2.3002
2015-03-17,2.2725
2015-03-18,2.1569
2015-03-19,2.1728
2015-03-20,2.1312
2015-03-23,2.1076
2015-03-24,2.0722
2015-03-25,2.0952
2015-03-26,2.1586
2015-03-27,2.1324
2015-03-30,2.1323
2015-03-31,2.1092
2015-04-01,2.0603
2015-04-02,2.0743
2015-04-03,2.0194
2015-04-06,2.0553
2015-04-07,2.0597
2015-04-08,2.0759
2015-04-09,2.1204
2015-04-10,2.1328
2015-04-13,2.1223
2015-04-14,2.0905
2015-04-15,2.0773
2015-04-16,2.0626
2015-04-17,2.0494
2015-04-20,2.0630
2015-04-21,2.0827
2015-04-22,2.1395
2015-04-23,2.1247
2015-04-24,2.1033
2015-04-27,2.1042
2015-04-28,2.1460
2015-04-29,2.1983
2015-04-30,2.2117
2015-05-01,2.2751
2015-05-04,2.3113
2015-05-05,2.3444
2015-05-06,2.3945
2015-05-07,2.3711
2015-05-08,2.3380
2015-05-11,2.4139
2015-05-12,2.4329
2015-05-13,2.4461
2015-05-14,2.4160
2015-05-15,2.3612
2015-05-18,2.4065
2015-05-19,2.4574
2015-05-20,2.4509
2015-05-21,2.4034
2015-05-22,2.4214
2015-05-25,.
2015-05-26,2.3729
2015-05-27,2.3560
2015-05-28,2.3390
2015-05-29,2.3200
2015-06-01,2.3634
2015-06-02,2.4287
2015-06-03,2.5253
2015-06-04,2.5064
2015-06-05,2.5811
2015-06-08,2.5830
2015-06-09,2.6074
2015-06-10,2.6640
2015-06-11,2.6151
2015-06-12,2.6058
2015-06-15,2.5740
2015-06-16,2.5369
2015-06-17,2.5080
2015-06-18,2.5216
2015-06-19,2.4681
2015-06-22,2.5331
2015-06-23,2.5801
2015-06-24,2.5741
2015-06-25,2.5848
2015-06-26,2.6454
2015-06-29,2.5526
2015-06-30,2.5413
2015-07-01,2.5990
2015-07-02,2.5778
2015-07-03,.
2015-07-06,2.5061
2015-07-07,2.4697
2015-07-08,2.4180
2015-07-09,2.4741
2015-07-10,2.5685
2015-07-13,2.6077
2015-07-14,2.5890
2015-07-15,2.5471
2015-07-16,2.5456
2015-07-17,2.5453
2015-07-20,2.5637
2015-07-21,2.5395
2015-07-22,2.5206
2015-07-23,2.4716
2015-07-24,2.4517
2015-07-27,2.4073
2015-07-28,2.4157
2015-07-29,2.4383
2015-07-30,2.4404
2015-07-31,2.3823
2015-08-03,2.3375
2015-08-04,2.3797
2015-08-05,2.4203
2015-08-06,2.3989
2015-08-07,2.3634
2015-08-10,2.3833
2015-08-11,2.3197
2015-08-12,2.3006
2015-08-13,2.3376
2015-08-14,2.3582
2015-08-17,2.3366
2015-08-18,2.3559
2015-08-19,2.2909
2015-08-20,2.2643
2015-08-21,2.2204
2015-08-24,2.1779
2015-08-25,2.2522
2015-08-26,2.3079
2015-08-27,2.3280
2015-08-28,2.3481
2015-08-31,2.3668
2015-09-01,2.3356
2015-09-02,2.3476
2015-09-03,2.3326
2015-09-04,2.3004
2015-09-07,.
2015-09-08,2.3370
2015-09-09,2.3408
2015-09-10,2.3587
2015-09-11,2.3393
2015-09-14,2.3283
2015-09-15,2.4008
2015-09-16,2.4282
2015-09-17,2.3544
2015-09-18,2.2918
2015-09-21,2.3279
2015-09-22,2.2883
2015-09-23,2.2910
2015-09-24,2.2717
2015-09-25,2.2941
2015-09-28,2.2509
2015-09-29,2.1969
2015-09-30,2.1871
2015-10-01,2.1811
2015-10-02,2.1258
2015-10-05,2.1649
2015-10-06,2.1654
2015-10-07,2.1863
2015-10-08,2.2192
2015-10-09,2.2353
2015-10-12,.
2015-10-13,2.1938
2015-10-14,2.1283
2015-10-15,2.1521
2015-10-16,2.1655
2015-10-19,2.1696
2015-10-20,2.2053
2015-10-21,2.1869
2015-10-22,2.1787
2015-10-23,2.2226
2015-10-26,2.2154
2015-10-27,2.1925
2015-10-28,2.2422
2015-10-29,2.3052
2015-10-30,2.3084
2015-11-02,2.3397
2015-11-03,2.3703
2015-11-04,2.3985
2015-11-05,2.4090
2015-11-06,2.4785
2015-11-09,2.5075
2015-11-10,2.4946
2015-11-11,.
2015-11-12,2.4979
2015-11-13,2.4643
2015-11-16,2.4453
2015-11-17,2.4303
2015-11-18,2.4430
2015-11-19,2.4287
2015-11-20,2.4363
2015-11-23,2.4264
2015-11-24,2.4064
2015-11-25,2.3991
2015-11-26,.
2015-11-27,2.3838
2015-11-30,2.3783
2015-12-01,2.3268
2015-12-02,2.3369
2015-12-03,2.4358
2015-12-04,2.4317
2015-12-07,2.3993
2015-12-08,2.3908
2015-12-09,2.3644
2015-12-10,2.3802
2015-12-11,2.2991
2015-12-14,2.3573
2015-12-15,2.4019
2015-12-16,2.4436
2015-12-17,2.4114
2015-12-18,2.3658
2015-12-21,2.3522
2015-12-22,2.3782
2015-12-23,2.4066
2015-12-24,2.4030
2015-12-25,.
2015-12-28,2.3951
2015-12-29,2.4474
2015-12-30,2.4537
2015-12-31,2.4315
2016-01-01,.
2016-01-04,2.4011
2016-01-05,2.3952
2016-01-06,2.3359
2016-01-07,2.2943
2016-01-08,2.2606
2016-01-11,2.2707
2016-01-12,2.2381
2016-01-13,2.1966
2016-01-14,2.2022
2016-01-15,2.1550
2016-01-18,.
2016-01-19,2.1659
2016-01-20,2.1300
2016-01-21,2.1317
2016-01-22,2.1678
2016-01-25,2.1516
2016-01-26,2.1339
2016-01-27,2.1282
2016-01-28,2.1115
2016-01-29,2.0602
2016-02-01,2.0829
2016-02-02,2.0084
2016-02-03,1.9926
2016-02-04,1.9812
2016-02-05,1.9734
2016-02-08,1.8923
2016-02-09,1.8683
2016-02-10,1.8490
2016-02-11,1.7901
2016-02-12,1.8539
2016-02-15,.
2016-02-16,1.8915
2016-02-17,1.9273
2016-02-18,1.8926
2016-02-19,1.8973
2016-02-22,1.9042
2016-02-23,1.8846
2016-02-24,1.8822
2016-02-25,1.8447
2016-02-26,1.8894
2016-02-29,1.8830
2016-03-01,1.9515
2016-03-02,1.9833
2016-03-03,1.9770
2016-03-04,2.0187
2016-03-07,2.0496
2016-03-08,1.9945
2016-03-09,2.0187
2016-03-10,2.0606
2016-03-11,2.1018
2016-03-14,2.1042
2016-03-15,2.1051
2016-03-16,2.0597
2016-03-17,2.0334
